./data_files/66°30.xls: 14031L0
   acronym  code  concentration
6     HUME     2         0.0500
7     ADDI     3         0.0005
9     CGRA     6         0.0200
10    EMUL     3         0.0500
11    HUIL    18         0.0200
12    CGRA     1         0.0100
13     ABC   120         0.0200
14    HUIL    36         0.0300
15    HUIL   174         0.0300
16    HUIL     4         0.0200
17    SILI     7         0.0200
19    ADDI    98         0.0015
21    HUME    16         0.0100
22    CONS    37         0.0030
23    CONS    23         0.0010
25     EAU     4         0.0500
26    ACTI     4         0.0200
28    ACTI    73         0.0010
29    ACTI   490         0.0100
30    ACTI   858         0.0200
31     SOL     9         0.0001
32     SOL    24         0.0003
33    PARF   102         0.0010

./data_files/14100 à 14300.xls: 14153L2
   acronym  code  concentration
3      EAU     4         0.6270
4     ACTI   270         0.0030
5     GELI    17         0.0030
6     HUME     2         0.0500
7     ADDI     3         0.0005
9     EMUL     3         0.0500
10    HUIL    18         0.0200
11    CGRA     1         0.0100
12     ABC   120         0.0200
13    HUIL    36         0.0300
14    HUIL   174         0.0300
15    HUIL     4         0.0200
16    SILI     7         0.0200
18    ADDI    98         0.0006
20    HUME    16         0.0100
21    CONS    37         0.0030
22    CONS    23         0.0010
24     EAU     4         0.0500
25    ACTI     4         0.0200
27    ACTI    73         0.0010
28    ACTI   490         0.0100
29    ACTI   858         0.0200
30     SOL     9         0.0001
31     SOL    24         0.0003
32    PARF   102         0.0005

./data_files/14100 à 14300.xls: 14154L0
   acronym  code  concentration
3      EAU     8        0.81537
4     ADDI     3        0.00050
